"fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price","car_company"
"gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,13495,"alf"
"gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,16500,"alf"
"gas","std","two","hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv","six",152,"mpfi",2.68,3.47,9,154,5000,19,26,16500,"alf"
"gas","std","four","sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc","four",109,"mpfi",3.19,3.4,10,102,5500,24,30,13950,"aud"
"gas","std","four","sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc","five",136,"mpfi",3.19,3.4,8,115,5500,18,22,17450,"aud"
"gas","std","two","sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250,"aud"
"gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430,"bmw"
"gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925,"bmw"
"gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,20970,"bmw"
"gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,21105,"bmw"
"gas","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6295,"che"
"gas","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6575,"che"
"gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.41,68,5500,37,41,5572,"dod"
"gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6377,"dod"
"gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229,"dod"
"gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692,"dod"
"gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609,"dod"
"gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921,"dod"
"gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,31,38,6855,"hon"
"gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","four",79,"1bbl",2.91,3.07,10.1,60,5500,38,42,5399,"hon"
"gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,6529,"hon"
"gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7129,"hon"
"gas","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7295,"hon"
"gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","four",92,"1bbl",2.92,3.41,9.2,76,6000,30,34,7295,"hon"
"gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,7895,"hon"
"gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,9095,"hon"
"gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,8845,"hon"
"gas","std","four","sedan","fwd","front",96.5,175.4,62.5,54.1,2372,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,10295,"hon"
"gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2465,"ohc","four",110,"mpfi",3.15,3.58,9,101,5800,24,28,12945,"hon"
"gas","std","two","sedan","fwd","front",96.5,169.1,66,51,2293,"ohc","four",110,"2bbl",3.15,3.58,9.1,100,5500,25,31,10345,"hon"
"gas","std","four","sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc","four",111,"2bbl",3.31,3.23,8.5,78,4800,24,29,6785,"isu"
"gas","std","two","sedan","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,8916.5,"isu"
"gas","std","four","sedan","fwd","front",94.5,155.9,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,8916.5,"isu"
"gas","std","two","hatchback","rwd","front",96,172.6,65.2,51.4,2734,"ohc","four",119,"spfi",3.43,3.23,9.2,90,5000,24,29,11048,"isu"
"gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1890,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,30,31,5195,"max"
"gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1900,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6095,"max"
"gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1905,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6795,"maz"
"gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1945,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6695,"maz"
"gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1950,"ohc","four",91,"2bbl",3.08,3.15,9,68,5000,31,38,7395,"maz"
"gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,23,10945,"maz"
"gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,23,11845,"maz"
"gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2385,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,23,13645,"maz"
"gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2500,"rotor","two",80,"mpfi",3.33,3.255,9.4,135,6000,16,23,15645,"maz"
"gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8845,"maz"
"gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8495,"maz"
"gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10595,"maz"
"gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10245,"maz"
"gas","std","four","hatchback","fwd","front",98.8,177.8,66.5,55.5,2425,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,11245,"maz"
"gas","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2670,"ohc","four",140,"mpfi",3.76,3.16,8,120,5000,19,27,18280,"maz"
"gas","turbo","two","hatchback","rwd","front",102.7,178.4,68,54.8,2910,"ohc","four",140,"mpfi",3.78,3.12,8,175,5000,19,24,16503,"mer"
"gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,37,41,5389,"mit"
"gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1944,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6189,"mit"
"gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6669,"mit"
"gas","std","two","hatchback","fwd","front",96.3,173,65.4,49.4,2328,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,8499,"mit"
"gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2365,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,6989,"mit"
