"Variable","Mean","Median","SD","Min","Max"
"wheelbase",97.5072,96.3,4.52660907053164,86.6,114.2
"carlength",171.368,170.7,10.6264323512705,144.6,198.9
"carwidth",65.2584,65.2,1.53376954991878,61.8,68.9
"carheight",53.6408,54.1,2.4234771074476,48.8,59.8
"curbweight",2401.448,2337,409.650587853883,1819,3296
"enginesize",115.568,109,27.0287588773812,70,181
"boreratio",3.2688,3.19,0.251750644679957,2.68,3.94
"stroke",3.25128,3.255,0.1843317311175,2.68,3.58
"compressionratio",9.08256,9,0.391154008115111,8,10.1
"horsepower",95.256,88,29.5514597641732,60,175
"peakrpm",5247.2,5200,373.858693332983,4250,6000
"citympg",25.976,26,5.6674850768903,16,38
"highwaympg",31.832,32,5.73716800993256,22,47
"price",10836.272,8949,4437.71308098316,5195,22625
